cust_id,lookalikes
C0001,"[('C0127', 0.9403533822325846), ('C0069', 0.8951555956307474), ('C0055', 0.8868465079530238)]"
C0002,"[('C0144', 0.9805638509253883), ('C0062', 0.9567022269110915), ('C0159', 0.9533781807622369)]"
C0003,"[('C0086', 0.9550780495347883), ('C0106', 0.9523994906311544), ('C0166', 0.9003549996508783)]"
C0004,"[('C0113', 0.9866359609371185), ('C0017', 0.9807638775981855), ('C0075', 0.9789645062023222)]"
C0005,"[('C0007', 0.9843492789925087), ('C0197', 0.979791098111681), ('C0140', 0.9707720888935425)]"
C0006,"[('C0187', 0.9362122220270912), ('C0139', 0.9267392124558148), ('C0079', 0.8700239443337616)]"
C0007,"[('C0005', 0.9843492789925087), ('C0146', 0.964033814911567), ('C0197', 0.9624371501661656)]"
C0008,"[('C0039', 0.98171706078772), ('C0162', 0.9816369591021663), ('C0113', 0.9782278906430311)]"
C0009,"[('C0198', 0.9905472701181369), ('C0150', 0.9819777186349755), ('C0058', 0.9816376086718404)]"
C0010,"[('C0176', 0.9729257371806426), ('C0029', 0.9251612011280622), ('C0077', 0.8974994100873553)]"
C0011,"[('C0126', 0.9187066610200986), ('C0070', 0.8819915693209548), ('C0064', 0.84760597754375)]"
C0012,"[('C0163', 0.9733893531403723), ('C0104', 0.9718743354449685), ('C0182', 0.9644462523223045)]"
C0013,"[('C0188', 0.9664538227429915), ('C0102', 0.9584039917095866), ('C0099', 0.9544456234511282)]"
C0014,"[('C0097', 0.9995637783688498), ('C0060', 0.9993486465671855), ('C0128', 0.9985613506200323)]"
C0015,"[('C0123', 0.9986438832219755), ('C0071', 0.9693376926647207), ('C0128', 0.9661937475723825)]"
C0016,"[('C0183', 0.9575003340312909), ('C0107', 0.950130489104532), ('C0040', 0.9218315312160826)]"
C0017,"[('C0113', 0.9836574929591579), ('C0004', 0.9807638775981855), ('C0075', 0.9687184998990966)]"
C0018,"[('C0021', 0.9576100827672152), ('C0057', 0.9547401509453637), ('C0017', 0.9530092686292952)]"
C0019,"[('C0191', 0.932212303327773), ('C0027', 0.908793701597661), ('C0094', 0.9047991045282836)]"
C0020,"[('C0130', 0.9991307411956356), ('C0186', 0.9522212034870919), ('C0198', 0.9433074004631214)]"
